tagName,Count,Excerpt
"sas","466","Serial Attached SCSI (SAS) is a computer bus used to move data to and from computer storage devices such as hard drives and tape drives. SAS depends on a point-to-point serial protocol that replaces the parallel SCSI bus technology that first appeared in the mid 1980s in data centers and workstations, and it uses the standard SCSI command set."
"301-redirect","463","The HTTP response status code 301 Moved Permanently is used for permanent redirection. This status code should be used with the location header. "
"user-accounts","463","A user account is an access authorization to a restricted IT system. It consists mostly of a system wide unique user name an a password which are needed for authentication. IT systems use the user account to identify the individual user and grant him permissions which are associated with the user account."
"amazon-rds","461","Amazon RDS (Relational Database Service)"
"udp","461","UDP stands for User Datagram Protocol. With UDP applications can send messages (datagrams) to other hosts on a network without requiring prior communications to set up special transmission channels or data paths."
"time","456","Time is a dimension in which events can be ordered from the past through the present into the future, and also the measure of durations of events and the intervals between them."
"synchronization","454",""
"elastic-beanstalk","454","AWS Elastic Beanstalk is a PaaS (Platform as a Service) service that allows you to quickly deploy and manage applications in the AWS cloud. Elastic Beanstalk handles the deployment details of capacity provisioning, load balancing, auto-scaling, and application health monitoring."
"network-monitoring","453","Describes the use of a system that constantly monitors a computer network for slow or failing components and that notifies the network administrator (via email, SMS or other alarms) in case of outages."
"rds","452","RDS can stand for Remote Desktop Services (formerly known as Microsoft Terminal Services), or Amazon Relational Database Service. For Amazon RDS, please use the tag amazon-rds"
"forwarding","451","Redirect a port to another one, used to access a computer from behind a firewall."
"wireshark","451","Wireshark is an open source Network Protocol Analyzer under GNU License."
"hacking","449","Hacking is the violation of server or network security via exploitation of weaknesses in that security."
"raid1","448","RAID 1 or Mirrored RAID uses two or more disks that store the same data."
".net","447","The .NET Framework is a software framework for Microsoft Windows operating systems. It includes a large library, and it supports several programming languages which allows language interoperability "
"domain-name","447","A domain name is an identification string that defines a group of computers on the internet under the same realm of administrative autonomy, authority, or control.  Technically, any name registered in DNS is a domain name, however, the term usually refers to a second and top level domain, such as serverfault.com"
"voip","446","Voice over Internet Protocol (Voice over IP, VoIP) is one of a family of internet technologies, communication protocols, and transmission technologies for delivery of voice communications and multimedia sessions over Internet Protocol (IP) networks, such as the Internet."
"internet-explorer","444","Windows Internet Explorer is a series of graphical web browsers developed by Microsoft and included as part of the Microsoft Windows line of operating systems starting in 1995."
"groups","439","The idea of groups exists across all major operating systems. Groups are objects that contain other objects, usually users. This allows for simplification of access control assignments when many people need access to the same resources."
"dns-hosting","435","DNS hosting service is the service than runs DNS servers."
"vagrant","434","Vagrant is a tool to create and configure lightweight, reproducible, and portable development environments. By default, it uses Oracle's VirtualBox for these virtual environments, but support for other virtualization systems is available. Most questions about Vagrant should be asked on Super User or Stack Overflow."
"tcpip","433","TCP and IP are two important protocols used in networking today. Due to their importance, the Internet Protocol Suite is also commonly known as ""TCP/IP"""
"vmware-workstation","432","VMware Workstation is a virtual machine software suite for x86 and x86-64 computers from VMware."
"drivers","432","A device driver or software driver is a computer program allowing higher-level computer programs to interact with a hardware device."
"ext4","431","The ext4 or fourth extended filesystem is a journaling file system for linux/*nix developed as the successor to ext3."
"putty","425","PuTTY is a free open source SSH/Telnet terminal emulation program for Windows and Unix like operating systems."
"azure-active-directory","425","Azure Active Directory is a Microsoft platform for handling identity and authorization requirements for cloud applications."
"windows-firewall","424","""Windows Firewall"" refers to the built in client firewall utility that ships with the Windows operating system. (It was previously named the Internet Connection Firewall.) By default, all Windows operating systems since Windows XP and Windows Server 2003 have shipped with this client."
"openvz","423","OpenVZ is an open source containerisation technology for Linux which utilities containers to run separate Linux based operating systems on a single machine. OpenVZ is typically used as it touts a low overhead, of around 1-3% of CPU, compared to virtualization technologies."
"openstack","422","OpenStack (http://openstack.org) is a collection of open source projects that enables an open, scalable cloud infrastructure. The core of OpenStack is meant to provide consistent APIs and interfaces to a variety of potential back-ends."
"batch-file","421","batch files are simple text files executed in a command to achieve a particular task or a set of tasks"
"upgrade","417","Upgrading is the process of changing a system to a different, higher/newer version.  It is similar to patching or updating (and for some software, may even be as simple as applying patches or updates, but is generally more involved and more comprehensive than the process for installing patches or updates."
"godaddy","416","Domain registrar and web hosting company based in Scottsdale, Arizona"
"electrical-power","414","Power is required for all our servers, desktops, and other electronic devices to operate."
"tcpdump","413","tcpdump is a CLI tool for capturing and displaying packets sent and received by network devices."
"site-to-site-vpn","410",""
"windows-service","410","Windows services, also referred to as NT services, are background service processes run by the Service Control Manager based on the service settings and optionally restarted as needed. Windows services are also capable of being launched on demand, based on other service dependencies."
"rhel7","409","Red Hat Enterprise Linux version 7 is a Linux distribution sold by Red Hat, Inc. for the enterprise market. It is used for both servers and desktops. Although the binaries are not freely available, the sources are, and so there are numerous projects which provide compatible rebuilds of RHEL, such as CentOS and Scientific Linux."
"vnc","408","In computing, Virtual Network Computing (VNC) is a graphical desktop sharing system that uses the RFB protocol to remotely control another computer. It transmits the keyboard and mouse events from one computer to another, relaying the graphical screen updates back in the other direction, over a network."
"snapshot","406","A snapshot is a copy of data taken at a specific point in time."
"cloudflare","406","CloudFlare is a content delivery network and distributed domain name server service marketed as improving website performance and speed and providing security."
"data-recovery","404","Reclamation of deleted or otherwise removed/corrupted data (files)"
"logrotate","401","logrotate  is  designed to ease administration of systems that generate
       large numbers of log files.  It allows automatic rotation, compression,
       removal, and mailing of log files.  Each log file may be handled daily,
       weekly, monthly, or when it grows too large.
"
"ibm","398","IBM is a computer hardware and software vendor operating in a variety of market spaces, including Unix systems, ""midrange"" (AS/400) systems, Mainframes, and consumer workstations/laptops.  This is a generic tag designed to be used if no more specific tag exists for your IBM product. See the partial list of IBM tags in the full tag wiki"
"performance-tuning","396","Performance tuning is the process of modifying a system to improve its efficiency. This is also known as optimizing."
"sccm","395","Systems Center Configuration Manager is a product by Microsoft that is used to manage the Configuration of multiple Windows-based systems."
"compression","394","Decrease the size of data, typically to preserve space or reduce network bandwidth required while transmitting files. It can be applied to files, folders, disks, etc."
"spamassassin","393","SpamAssassin is a computer program released under the Apache License 2.0 used for e-mail spam filtering based on content-matching rules."
"scp","392","Secure Copy or SCP is a means of securely transferring computer files between a local host and a remote host or between two remote hosts. It is based on the Secure Shell (SSH) protocol."
"google","391","Company providing various Internet-related products and services, such as Google web search, Gmail, Google Calendar, YouTube, ... They provide APIs for several of their services, allowing users to integrate these into their own websites and web applications."
"chroot","390","A chroot on Unix operating systems is an operation that changes the apparent root directory for the current running process and its children."
"sql-server-2008-r2","390","SQL Server 2008R2 is a version of Microsoft's SQL Server, released April 2010."
"failovercluster","388","A failover cluster is a group of servers that work together to maintain high availability of applications and services"
"mod-wsgi","388","mod_wsgi is an easy to use Apache module that can host Python web applications which support the Python WSGI interface."
"cifs","387","The Common Internet File System (previously known as SMB) is a layer 7 networking protocol providing file and device sharing across local networks. It was originally designed and implemented by Microsoft as part of the Windows operating system."
"wmi","387","Windows Management Instrumentation"
"debian-wheezy","387","Debian is a popular Linux distribution. The codename Wheezy stands for version 7.0 which is now EOL. It was released on 2013-05-04."
"terminal","386","Terminal: 1) A device or program used to talk to a terminal server, usually over Serial or RDP, 2) A synonym for command-shell or command line, 3) A specific OS X program."
"package-management","385","Process of installation, deletion and update the software configuration in the operating system using a pre-prepared packages."
"windows-vista","385","Windows Vista is the operating system released in January 2007, as a successor to Windows XP.  It was intended for PCs, workstations and laptops, and shares the same code base as its successor, Windows 7. As a result, questions and answers asked of Windows Vista are mostly interchangeable with those of Windows 7.  Differences are mostly minor, such as file menus and the wording of dialogs."
"redis","384","Redis is an open source, highly-scalable key-value store, commonly referred to as a ""NoSQL database."""
"sata","383","Serial ATA (SATA or Serial Advanced Technology Attachment) is a computer bus interface for connecting host bus adapters to mass storage devices such as hard disk drives and optical drives. Serial ATA was designed to replace the older ATA (AT Attachment) standard (also known as EIDE), offering many advantages over the older parallel ATA (PATA) interface."
"environment-variables","382","Environment variables are configuration options that can be set in a shell or other similar environments. All programs started from within the shell can read them and configure themselves."
"user-permissions","381",""
"rhel5","379","Red Hat Enterprise Linux version 5 is a Linux distribution sold by Red Hat, Inc. for the enterprise market."
"usb","378","Universal Serial Bus, an industry standard for serial communication."
"ipv4","378","Refers to the 4th revision of the Internet Protocol, where addresses are usually displayed in the form of dotted decimals between 0-255. Ex: 169.254.0.1"
"lxc","377","LXC short for (Linux Containers) LXC is an operating system-level virtualization method for running multiple isolated Linux systems (containers) on a single control host.
LXC is the userspace control package for Linux Containers, a lightweight virtual system mechanism sometimes described as “chroot on steroids”. "
"gitlab","377","Gitlab is self hosted Git management software."
"windows-registry","376","The Windows Registry is a hierarchical database that stores configuration settings and options on Microsoft Windows operating systems. It contains settings for low-level operating system components as well as the applications running on the platform."
"arp","374","Address Resolution Protocol is a layer 2 networking protocol used for resolving layer 3 addresses (such as IP addresses) into layer 2 addresses (such as Ethernet MACs). It is used by network devices when communicating with devices on the same layer 2 network."
"citrix","374","Citrix Systems, Inc. is a multinational corporation founded in 1989. It provides server and desktop virtualization, networking, software-as-a-service (SaaS), and cloud computing technologies, including Xen open source products. Though not their only product, ""Citrix"" (as in ""Citrix server"") is commonly used as a synonym for ""Citrix XenApp"" - their break-through product, tracing back to 1995."
"google-kubernetes-engine","373","Google Kubernetes Engine is a cluster manager and orchestrator for running Docker containers. It schedules your containers into the cluster and manages them automatically based on requirements you define (such as CPU and memory). It's built on the open source Kubernetes system, giving you the flexibility to take advantage of on-premises, hybrid, or public cloud infrastructure. It was formerly called Google Container Engine."
"io","371","IO (or I/O) is an abbreviation for input/output, most commonly referring to disk input/output."
"vmware-server","370","A free-of-charge virtualization solution, which has now been discontinued."
"docker-compose","369","Compose is a tool for defining and running multi-container Docker applications."
"jboss","368","JBoss Application Server (or JBoss AS) is a free software/open-source Java EE-based application server."
"memcached","367","Memcached is an in-memory key-value store for small chunks of arbitrary data (strings, objects). It is commonly used as a cache to speed access to frequently used data."
"team-foundation-server","366","Team Foundation Server is a complete Application Lifecycle Management (ALM) suite, offered by Microsoft.  TFS combines activities such as Source Control Management, Work Item Tracking, Project Management, Build Management, and Reporting into a single product with strong integration points to the Visual Studio and Microsoft Office product lines."
"monit","365","monit is a free, open source process supervision tool for Unix and Linux. "
"innodb","364","InnoDB is the main ACID-compliant Storage Engine used in MySQL."
"freenas","363","FreeNAS is a network attached storage (NAS) server appliance distribution based on the FreeBSD operating system."
"elasticsearch","362","Elasticsearch is a flexible and powerful open source, distributed, real-time search and analytics engine. "
"email-bounces","359","email bounces are messages that are delivered to the nominated postmaster account on an email server to indicate a problem delivering the mail to one or more recipients."
"http-status-code-404","358","404 is the HTTP status code for ""Not Found"""
"dedicated-server","358","In the web hosting industry, a dedicated server refers to a server which is leased in its entirety to a single customer, usually an individual or small business."
"configuration-management","355","Configuration Management refers to establishing and maintaining standardized system configurations within an organization.  This tag encompasses the process of defining the configuration profiles, and the software used to manage and deploy it. "
"ufw","353","Uncomplicated Firewall is a firewall configuration tool for Linux. It acts as a frontend to iptables. Originally designed for Ubuntu, it is available on many Linux distributions."
"tunneling","349",""
"64-bit","345","In computer architecture, 64-bit integers, memory addresses, or other data units are those that are at most 64 bits (8 octets) wide. Also, 64-bit CPU and ALU architectures are those that are based on registers, address buses, or data buses of that size. 64-bit is also a term given to a generation of computers in which 64-bit processors are the norm."
"dfs","343","Microsoft Distributed File System (DFS) is a technology that complements the SMB/CIFS based file server role of Windows Servers."
"iis-8","343","The version of Microsoft's web server that comes with Server 2012 and Windows 8. It adds support for multiple SSL-certs for a single IP (SNI), web sockets, Application Initialization."
"sonicwall","343","SonicWall (styled SonicWALL), originally a private company headquartered in San Jose, California, and now owned by Dell, sells a range of Internet appliances primarily directed at content control and network security. These include devices providing services for network firewalls, UTMs (Unified Threat Management), VPNs (Virtual Private Network), backup and recovery, and anti-spam for email. Wikipedia.org/wiki/SonicWall"
"web-applications","342",""
"bonding","340","""bonding"" is the Linux-term for link aggregation."
"dnsmasq","340","dnsmasq is a lightweight DHCP, DNS and TFTP server application for *nix platforms intended for use on small and home networks."
"samba4","339","Samba4 is version 4 of Samba, the Linux implementation of the SMB/CIFS protocols. It is the first version of Samba with full Active Directory support, allowing a Linux server to become an Active Directory Domain Controller."
"pptp","339","Point-To-Point Tunnelling Protocol is an insecure, obsolete networking protocol which exposes a layer 2 tunnel. It uses a TCP connection for control communications and a GRE tunnel for the actual data. It was historically used to create VPNs."
"proxmox","338","Proxmox Virtual Environment (PVE for short) is an Open Source Server Virtualization Platform, based on Debian, KVM and (LXC for v4 and above, OpenVZ for versions <4.0)"
"anti-virus","338","Antivirus is software used to prevent, detect and remove malware."
"best-practices","337","Questions asking for best practices in a given field. Be aware, that sometimes there might be no generally accepted best practices, in which case the question is likely to be closed for being subjective. "
"iis-8.5","336","IIS 8.5 is the version of IIS that ships with Windows 2012 R2, and Windows 8.1."
"disaster-recovery","335","Disaster recovery and preparedness is an unfortunate aspect of systems administration.  This tag should be used for help with planning, implementation and best-practices related to recovering from a catastrophic event on a server or in a datacenter environment."
"windows-command-prompt","335","Refers to the default CLI that ships with all versions of Windows, often shortened to just ""command prompt"" or cmd (after the file name of the executable)."
"troubleshooting","335","Troubleshooting is a form of problem solving, often applied to repair failed products or processes."
"optimization","333","Optimization is the process of modifying a system to make some aspect of it work more efficiently or use fewer resources."
"wds","330","Windows Deployment Services. A technology from Microsoft for network-based installation of Windows operating systems based on PXE."
"adfs","330","Microsoft Active Directory Federation Service is an identity federation technology that provides single sign on access to web services and web applications using WS-* and SAML. "
"share","328","Make a resource, such as files or printers, available over a network."
"radius","328","Remote Authentication Dial In User Service (RADIUS) is a networking protocol that provides centralized Authentication, Authorization, and Accounting (AAA) management for computers to connect and use a network service. "
"backup-restoration","326",""
"opensuse","325","OpenSuSE (formerly known as SuSE Professional) is the ""free"" branch of the SuSE distribution family. OpenSuSE is not binary compatible to its bigger brother ""SLES""."
"windows-sbs-2008","325","Windows Small Business Server 2008 is the Microsoft operating system in the `SBS` line based on Windows Server 2008.  It went RTM August 21st, 2008 and officially launched November 12th, 2008.  Like the rest of the `SBS` line, it includes a number of Microsoft products bundled with it, the tradeoff being that the number of users is limited and some functionality useful for larger organizations is disabled."
"vsftpd","325","`vsftpd` is a fast, stable GPL-licensed FTP server for Unix/Linux systems."
"tar","324","GNU tar creates and manipulates archives which are actually collections of many other files; the program provides users with an organized and systematic method for controlling a large amount of data."
"uwsgi","324","Questions regarding uWSGI which is a full stack for building hosting services"
"munin","324","Munin is a networked resource monitoring tool that can help analyze resource trends and ""what just happened to kill our performance?"" problems."
"upload","322","Upload means sending of data from a local system to a remote system such as a server or another client with the intent that the remote system should store a copy of the data being transferred."
"gzip","317","Gzip is any of several software applications used for file compression and decompression. The term usually refers to the GNU Project's implementation, ""gzip"" standing for GNU zip. It is based on the DEFLATE algorithm, which is a combination of Lempel-Ziv (LZ77) and Huffman coding. "
"windows-server-2019","317",""
"swap","316","Linux divides its physical RAM (random access memory) into chucks of memory called pages. Swapping is the process whereby a page of memory is copied to the preconfigured space on the hard disk, called swap space, to free up that page of memory. The combined sizes of the physical memory(RAM) and the swap space is the amount of virtual memory available.

Linux has two forms of swap space: the swap partition and the swap file."
"malware","316","Malware is any software application which subverts the will of the legitimate owner of a computer, by means of force or subterfuge, with or without personal or monetary gain on the part of the creator."
"single-sign-on","316","Single Sign On is a technology that allows a single login to be transparently used with multiple applications and environments."
"strongswan","315","strongSwan is an open source, multi-platform IPsec-based VPN solution, with IKEv2 & IKEv1 support"
"google-app-engine","314","Google App Engine is a cloud computing technology for hosting web applications in Google-managed data centers."
"amazon-cloudfront","314","Amazon CloudFront is a content delivery network (CDN) offered by Amazon Web Services. "
"batch","314","A batch file is the name given to a type of script file, a text file containing a series of commands to be executed by the command interpreter under MS-DOS and Microsoft Windows."
"dell-perc","312","PERC (PowerEdge RAID Controller) is a Dell-branded RAID controller that is manufactured by LSI."
"grub","311","Console application permitting the user to choose between several installed operating systems."
"telnet","309","For questions about Telnet, a protocol for bidirectional interactive text-oriented communication with remote hosts via virtual terminals. It is defined in RFC 854."
"glusterfs","308","GlusterFS is a scale-out NAS file system that runs over Ethernet or Infiniband RDMA interconnect. GlusterFS is now owned by Red Hat."
"firewalld","307","FirewallD is a firewall service daemon with D-BUS interface managing a dynamic firewall. First used in Fedora 18, it is expected to be the default firewall tool for future versions of Enterprise Linux."
"aws-cli","307","aws-cli is the Amazon Web Services Command Line Interface"
"alias","305","In computer sciences, an alias is a name which usually designates an already-named reference."
"restore","305","Returning data from a backup to its original location or to its successor."
"cloud-computing","305","Cloud-Computing: Marketing term for clustered resources"
"windows-terminal-services","304","""Terminal Services"" is the name used in Microsoft Windows Server 2008 and earlier, for what is in later versions known as ""Remote Desktop Services"". It allows its users to run applications on a remote server, sending only mouse/keyboard input and screen updates across the network."
"datacenter","304","is a facility used to house computer systems and associated components, such as telecommunications and storage systems"
"ios","304","The operating system used on the majority of Cisco's routers and switches; a package of routing, switching, internetworking and telecommunications functions tightly integrated with a multitasking operating system.  For Apple's mobile device OS, use apple-ios."
"php7","304","Use this tag for questions specific to PHP version 7. "
"grep","301","grep is a command-line tool for searching text patterns in files."
"isp","299","An Internet service provider (ISP) is an organization that provides access to the Internet."
"repository","299","A repository is the storage location of a package management or version control software. Consider adding tags for the particular software, e.g. apt, yum, git, svn."
"interface","299",""
"gnu-screen","299","GNU Screen is a software application that can be used to multiplex several virtual consoles."
"mod-security","298","ModSecurity supplies an array of request and response filtering rules and other security features to the Apache HTTP Server. ModSecurity is an open source web application layer firewall."
"debian-jessie","296","Debian 8.0 (""Jessie"") was initially released on April 26th, 2015. Long term support is available until June 30th, 2020."
"windows-sbs-2011","295","Windows Small Business Server 2011 is the Microsoft operating system in the SBS line based on Windows Server 2008 R2.  It will be the last in the SBS line and went RTM December 13th, 2010 and was first officially released March 9th, 2011.  Like the rest of the SBS line, it includes a number of Microsoft products bundled with it, the tradeoff being that the number of users is limited and some functionality useful for larger organizations is disabled."
"netstat","295","netstat is a tool for viewing active network connections, listeners and sockets."
"file-transfer","293",""
"latency","291","Latency is the time period between a signal being sent and a signal being received"
"wide-area-network","290","WAN refers to Wide Area Network"
"find","290","search for files in a directory hierarchy"
"task-scheduler","288",""
"redirection","288",""
"xfs","287","XFS is a file system originally for SGI's IRIX OS, but is now available for Linux. It is known for handling large files and large file systems well, one of the few Linux file systems that can handle partitions over 16.8TB."
"terraform","287","Terraform is a tool for building, changing, and combining infrastructure safely and efficiently."
"database-administration","286",""
"containers","285",""
"upstart","285","Upstart is an event-based replacement for the /sbin/init daemon which handles starting of tasks and services during boot, stopping them during shutdown and supervising them while the system is running."
"intel","285","This tag should be used for questions about Intel based server platforms, software and others related specifically to hardware and software from the Intel Corporation."
"amazon-ami","284","Amazon Machine Images (AMIs) are disk images of an operating system used to launch AWS EC2 instances."
"tomcat6","284","Open source web server developed by the Apache Software Foundation"
"ext3","284","ext3 is the default file system for many Linux distributions."
"bios","284","The BIOS is built into the PC, and is the first code run by a PC when powered on. The primary function is to load and start an operating system."
"static-ip","284","A static IP address is assigned to a device on a permanent basis. The IP address is not expected to change frequently or at all. This addressing method is commonly used for servers and other devices for which the address must be well-known."
"traffic","284",""
"aix","284","AIX (Advanced Interactive eXecutive, pronounced ""a i ex"") is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms."
"audit","283","Observing/logging a resource for purposes of:
- Adding it to a blacklist of whitelist
- Keeping tabs on the security of a system"
"init.d","283","The init.d directory contains a number of start/stop scripts for various services on a Linux system."
"sssd","282","System Security Services Daemon (SSSD) - This project provides a set of daemons to manage access to remote directories and authentication mechanisms, it provides an NSS and PAM interface toward the system and a pluggable backend system to connect to multiple different account sources. It is also the basis to provide client auditing and policy services for FreeIPA, LDAP, & Active Directory."
"hyper-v-server-2008-r2","282",""
"sles","281","SuSE Linux Enterprise Server is the ""professional"" SuSE distribution. To get support and patches from the manufacturer (now Attachmate, previously Novell) you have to purchase a license."
"windows-authentication","280","Windows authentication (or Integrated Windows Authentication) is a process where connections to applications or external systems are automatically authenticated with the currently logged on Windows user.  This functionality was first made available in Windows 2000."
"redundancy","280","Redundancy is the duplication of critical components or functions of a system with the intention of increasing reliability of the system, usually in the case of a backup or fail-safe."
"rras","279","RRAS is an acronym for Routing and Remote Access Service, which is a Microsoft API and software which allows administration of routing and remote access capabilities of the operating system."
"top","279","top is a Unix/Linux/BSD program to show what processing are running.  It can show the top users of CPU or memory."
"webdav","278","Web Distributed Authoring and Versioning is an extension to the HTTP/1.1 protocol that allows clients to perform remote Web content authoring operations."
"cdn","278","A Content Delivery Network is used to distribute data to end users of an Internet service. It is typically used for large scale distribution, and employs caching and numerous edge locations to speed up and reduce the bandwidth requirements of the process."
"kickstart","276","Kickstart is the method of automated installation of Linux Systems based on Red Hat or their clones (CentOS, Scientific Linux, Unbreakable Linux, ...)"
"saltstack","274","SaltStack is an open source configuration management and remote execution application."
"ipmi","273","Intelligent Platform Management Interface is a mechanism to manage and monitor computer hardware from the OS running on that hardware, or remotely over the network. It is implemented by a separate controller on the motherboard, called the Baseband Management Controller which may have a dedicated NIC or use one of the systems existing NICs.  This tag should be used for questions related to IPMI hardware and software."
"multicast","271","In computer networking, multicast is the delivery of a message or information to a group of destination computers simultaneously in a single transmission from the source. Copies are automatically created in other network elements, such as routers, but only when the topology of the network requires it."
"sip","270","The Session Initiation Protocol (SIP) is an IETF-defined signaling protocol widely used for controlling communication sessions such as voice and video calls over Internet Protocol (IP). The protocol can be used for creating, modifying and terminating two-party (unicast) or multiparty (multicast) sessions. Sessions may consist of one or several media streams."
"puppetmaster","270","Puppet is a configuration management tool (Unix & Windows) with its own Domain Specific Language (Puppet or Ruby DSL). Puppetmaster is the central server for this tool."
"outlook-2010","269","Microsoft Outlook 2010 (Version 14.0.x)"
"ansible-playbook","268",""
"sql-server-2012","268","Microsoft SQL Server 2012 (often abbreviated as SQL Server 2012 or MSSQL 2012) is a version of Microsoft's SQL database server software.  It includes new features and upgraded functionality from its predecessor, SQL Server 2008 R2, went RTM on March 6th, 2012 and to general release on April 1st, 2012."
"cgi","268","Cgi is the common gateway interface, used for interactive webpages."
"windows-sbs-2003","267","Windows Small Business Server 2003 is the Microsoft operating system in the `SBS` line based on Windows Server 2003."
"file-server","267","A file server is a computer attached to a network that has the primary purpose of providing a location for shared disk access, i.e. shared storage of computer files (such as documents, sound files, photographs, movies, images, databases, etc.) that can be accessed by the clients that are attached to the same computer network."
"daemon","264","On linux an unix-like systems is demon the designation of processes running in the background and providing certain services. Direct user intaractions with demons are not intended."
"console","264",""
"robocopy","263","Robocopy is a command line file copy utility for Windows-based operating systems."
"wget","263","GNU Wget (or just Wget, formerly Geturl) is a computer program that retrieves content from web servers, and is part of the GNU Project. Its name is derived from World Wide Web and get. It supports downloading via HTTP, HTTPS, and FTP protocols."
"arch-linux","260","Arch Linux (or Arch, pronounced /ˈɑrtʃ/) is an independently developed, Linux-based operating system for i686 and x86-64 computers. It is composed predominantly of free and open source software, and supports community involvement."
"pacemaker","260","Pacemaker achieves maximum availability for cluster services by detecting and recovering from node and service-level failures. It achieves this by utilizing the messaging and membership capabilities provided by your preferred cluster infrastructure (currently either OpenAIS or Heartbeat)."
"linode","260","Linode is a virtual server hosting business that specializes in Linux boxes."
"drupal","258","Drupal is an open-source, database-backed CMS written in PHP. It is maintained and supported by a worldwide community. Questions about installing and maintaining Drupal belong on Drupal.SE"
"php.ini","258","php.ini is the configuration file used by the PHP preprocessor to setup the default settings and certain security restrictions."
"benchmark","257","Benchmarking is the process of gathering data about the performance of a system in different scenarios to measure the impact of changes to the system, to compare the system with other options, or to determine maximum capacity."
"logstash","257","logstash is a tool for collecting and distributing log events."
"juniper","257","Juniper Networks is a networking technology company headquartered in Sunnyvale, California. They design and manufacture core and edge routers, as well as switches and security devices, most of which run their custom operating system JunOS."
"mod-ssl","256","The Apache Httpd interface to OpenSSL"
"mac-address","255","A Media Access Control address (MAC address) is a unique identifier assigned to network interfaces for communications on the physical network segment."
"session","253",""
"hadoop","253","Hadoop is an open-source solution for providing a distributed/replicated file system, a produciton grade map-reduce system, and has a series of complementary additions like Hive, Pig, and HBase to get more out of a Hadoop-powered cluster."
"mikrotik","253","Latvian manufacturer of computer networking equipment, known for the Linux-based operating system known as MikroTik RouterOS."
"ups","251","uninterruptible power supply"
"public-key","250",""
"shared-hosting","250","Hosting setup whereby a server is shared among many different customers. When compared to VPS or a dedicated server, this generally means that each customer has less resources available and more restrictions are in effect as to what a customer can do on the server (install software or not, ...)."
"hosts","248","/etc/hosts is the configuration file with locally known mappings between domain name and ip address. "
"sed","247","Sed stands for Stream EDitor - one of the basic tools in the POSIX environment. It processes one or more files according to an editing script and writes the results to standard output. Created in Bell Labs, it has been around since mid-70s."
"drbd","246","DRBD is a Distributed Replicated Block Device. Developed by LinBit it is now part of the standard-linux-kernel. Regard it as RAID 1 across an IP-network using any type of block device. Normally only the ""primary"" side can write."
"raid10","244","RAID 10 is a combination of RAID 1 and RAID 0. RAID 10 can also be referred as RAID 1+0"
"cygwin","244","cygwin provides a Unix/Linux-like environment under Microsoft Windows OSes."
"a-record","243","An A record is a type of DNS record that maps a name to an IP address. For example, the A record for serverfault.com is 64.34.119.12"
"supermicro","242","Supermicro is a computer hardware company headquartered in San Jose, California. They design and manufacture server equipment."
"autoscaling","241",""
"freeradius","241","FreeRADIUS is an open source RADIUS server"
"azure-networking","241","Questions related to azure networking: Virtual Networks, Load Balancers, routes, gatewayes and vpn/expressroute"
"tomcat7","241","For questions specific to Apache Tomcat version 7."
"sharepoint-2007","239","SharePoint 2007 is a collaboration platform by Microsoft."
"synology","239","Synology is a company best known for its Network Attached Storage (NAS) product line."
"firefox","239","Mozilla Firefox is a free and open source web browser descended from the Mozilla Application Suite."
"scalability","238","The ability of a system, network, or process, to handle growing amounts of work in a graceful manner or its ability to be enlarged to accommodate that growth."
"ip-routing","238",""
"maintenance","238","maintenance is keeping hardware and/or software systems in a healthy state by performing tasks such as updating, cleaning or replacing parts."
"outlook-web-app","237","OWA, (Outlook Web App), is the current name for the webmail service of Microsoft Exchange Server 5.0 and later that comes included as a part of Microsoft Exchange Server or Microsoft Office 365.  It was previously called ""Outlook Web Access."""
"printer","236",""
"cisco-vpn","235",""
"copy","235","Duplicating a thing to make two similar things."
"ssrs","235","Microsoft's SQL Server Reporting Services (SSRS), which provide ""tools and services to help you create, deploy, and manage reports"", usually querying MS SQL Server. "
"server-crashes","234",""
"xampp","234","A package consisting of Apache, mySQL, PHP and Perl, available for multiple platforms meant for use by developers."
"sasl","234","Simple Authentication and Security Layer (SASL) is a framework for authentication and data security in Internet protocols."
"amazon-cloudformation","233","Amazon Web Services CloudFormation is a JSON- or YAML-based templating system that can be used to create and manage a collection of related AWS resources, provisioning and updating them in an orderly and predictable fashion. You can think of it as 'Infrastructure-as-code'."
"database-backup","233",""
"network-printer","232",""
"nmap","231","Nmap (Network Mapper) is a security scanner originally written by Gordon Lyon (also known by his pseudonym Fyodor Vaskovich) used to discover hosts and services on a computer network, thus creating a ""map"" of the network."
"chmod","231","A Unix tool for changing file permissions"
"wildcard","231",""
"lsi","231","LSI is a manufacturer of enterprise storage and networking components."
"google-chrome","229","Chrome is Google's web browser for Windows, OS X, and Linux."
"microsoft-office","229","A productivity suite from Microsoft, for which about every 3 years a new major release becomes available, like in 2003, 2007, 20010, and 2013. It can only be run on Windows computers."
"http-basic-authentication","228",""
"testing","227",""
"gentoo","226","Gentoo Linux is a source-based Linux distro that uses the Portage package management system."
"supervisord","226","Supervisor is a client/server system that allows its users to control a number of processes on UNIX-like operating systems."
"pop3","225","POP3 stands for Post Office Protocol used by e-mail clients to retrieve messages from a remote e-mail server."
"time-synchronization","225",""
"nfs4","225","Network File System version 4 (NFSv4)"
